ResponseId,Other teachers from my department,Other teachers from other department,Parents,Custodian,Site Level Administration,Site Level Staff,Principal,District Administrations,Other teachers I met at ESTF (formerly SMELC),Other teachers from other schools,Community Based Partner,County Office of Education,Personal friends,Other (add the role here)
Response ID,Please indicate for each partner if the collaboration to advance environmental sustainability occ... - Connections before and after participating in the ecoliteracty  solutionary teachers fellowship (ESTF) - Other teachers from my department,Please indicate for each partner if the collaboration to advance environmental sustainability occ... - Connections before and after participating in the ecoliteracty  solutionary teachers fellowship (ESTF) - Other teachers from other department,Please indicate for each partner if the collaboration to advance environmental sustainability occ... - Connections before and after participating in the ecoliteracty  solutionary teachers fellowship (ESTF) - Parents,Please indicate for each partner if the collaboration to advance environmental sustainability occ... - Connections before and after participating in the ecoliteracty  solutionary teachers fellowship (ESTF) - Custodian,Please indicate for each partner if the collaboration to advance environmental sustainability occ... - Connections before and after participating in the ecoliteracty  solutionary teachers fellowship (ESTF) - Site level administration,Please indicate for each partner if the collaboration to advance environmental sustainability occ... - Connections before and after participating in the ecoliteracty  solutionary teachers fellowship (ESTF) - Site level staff,Please indicate for each partner if the collaboration to advance environmental sustainability occ... - Connections before and after participating in the ecoliteracty  solutionary teachers fellowship (ESTF) - Principal,Please indicate for each partner if the collaboration to advance environmental sustainability occ... - Connections before and after participating in the ecoliteracty  solutionary teachers fellowship (ESTF) - District administrators,Please indicate for each partner if the collaboration to advance environmental sustainability occ... - Connections before and after participating in the ecoliteracty  solutionary teachers fellowship (ESTF) - Other teachers I met at ESTF (formerly SMELC),Please indicate for each partner if the collaboration to advance environmental sustainability occ... - Connections before and after participating in the ecoliteracty  solutionary teachers fellowship (ESTF) - Other teachers from other schools,Please indicate for each partner if the collaboration to advance environmental sustainability occ... - Connections before and after participating in the ecoliteracty  solutionary teachers fellowship (ESTF) - Community Based Partner,Please indicate for each partner if the collaboration to advance environmental sustainability occ... - Connections before and after participating in the ecoliteracty  solutionary teachers fellowship (ESTF) - County Office of Education,Please indicate for each partner if the collaboration to advance environmental sustainability occ... - Connections before and after participating in the ecoliteracty  solutionary teachers fellowship (ESTF) - Personal friends,Please indicate for each partner if the collaboration to advance environmental sustainability occ... - Connections before and after participating in the ecoliteracty  solutionary teachers fellowship (ESTF) - Other (add the role here)
R_2Ei1AaGV1w2EjmF,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_XLYuR7vWst670sx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_vHXdCYPwhH0mMqR,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_0pLqcm26WkPNgat,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_d5SNvrU99sYqA2R,nan,nan,"Before ESTF,After ESTF","Before ESTF,After ESTF","Before ESTF,After ESTF","Before ESTF,After ESTF","Before ESTF,After ESTF",nan,nan,"Before ESTF,After ESTF","Before ESTF,After ESTF","Before ESTF,After ESTF",nan,nan
R_74fksyd5JgKrNN7,"Before ESTF,After ESTF","Before ESTF,After ESTF",nan,"Before ESTF,After ESTF",nan,nan,nan,nan,nan,nan,nan,After ESTF,nan,nan
R_3McfwIOX01npmsY,"Before ESTF,After ESTF","Before ESTF,After ESTF",After ESTF,"Before ESTF,After ESTF",After ESTF,After ESTF,"Before ESTF,After ESTF",After ESTF,nan,nan,nan,nan,nan,nan
R_6WEo0VMf44d6xSV,nan,nan,"Before ESTF,After ESTF",nan,nan,Before ESTF,"Before ESTF,After ESTF","Before ESTF,After ESTF",nan,"Before ESTF,After ESTF",Before ESTF,After ESTF,"Before ESTF,After ESTF",nan
R_2sKuIf1H3WYWQff,"Before ESTF,After ESTF",nan,nan,nan,After ESTF,nan,nan,nan,nan,nan,After ESTF,nan,After ESTF,nan
R_xirUkS2jtmERGZH,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_38j3gwrSpnZdFRL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_2qguVvQy44xrZoL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_1OObxWsKla5393W,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_3Jmh1fZg45gLWTt,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_ysfi78jOXsS1xyp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_4PKhNA1uLurg7tv,"Before ESTF,After ESTF",nan,nan,nan,nan,nan,nan,nan,nan,After ESTF,nan,nan,nan,nan
R_3ra0any8r7MSrQZ,nan,nan,nan,nan,nan,"Before ESTF,After ESTF",nan,nan,nan,nan,nan,nan,nan,nan
R_2ffivicjRBStcoY,"Before ESTF,After ESTF","Before ESTF,After ESTF","Before ESTF,After ESTF","Before ESTF,After ESTF","Before ESTF,After ESTF","Before ESTF,After ESTF",After ESTF,"Before ESTF,After ESTF",After ESTF,Before ESTF,"Before ESTF,After ESTF","Before ESTF,After ESTF","Before ESTF,After ESTF",nan
R_1f7soXsTFXEJUVp,After ESTF,nan,Before ESTF,Before ESTF,nan,nan,nan,nan,After ESTF,After ESTF,After ESTF,nan,Before ESTF,nan
R_2f0BGSwglx6ueq2,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_rj2iiEWMhQCr7NL,After ESTF,nan,nan,After ESTF,After ESTF,nan,After ESTF,nan,After ESTF,After ESTF,After ESTF,After ESTF,nan,nan
R_3inbhBGZIrWLQ5z,nan,nan,nan,nan,nan,nan,nan,nan,After ESTF,nan,nan,nan,nan,nan
R_2Vn04zzYdJVFmx1,"Before ESTF,After ESTF",After ESTF,nan,nan,After ESTF,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_2wtSINmgQ9wHkXt,"Before ESTF,After ESTF",nan,"Before ESTF,After ESTF","Before ESTF,After ESTF",After ESTF,nan,After ESTF,After ESTF,nan,nan,After ESTF,nan,After ESTF,nan
R_25Ep0fAU5rcYmC4,"Before ESTF,After ESTF",nan,nan,nan,nan,nan,"Before ESTF,After ESTF",nan,nan,nan,nan,nan,nan,nan
R_3NURYzBxsKiHGbQ,After ESTF,nan,After ESTF,After ESTF,After ESTF,After ESTF,After ESTF,After ESTF,After ESTF,After ESTF,After ESTF,After ESTF,nan,nan
R_2V1hI0UKW8sNR2D,After ESTF,nan,After ESTF,After ESTF,"Before ESTF,After ESTF",nan,"Before ESTF,After ESTF",After ESTF,After ESTF,nan,"Before ESTF,After ESTF",After ESTF,After ESTF,nan
R_2XbqGIWUTGithex,nan,nan,nan,"Before ESTF,After ESTF",nan,nan,nan,nan,After ESTF,After ESTF,"Before ESTF,After ESTF",After ESTF,nan,nan
R_3qEYRomDlkJIc58,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_1LUUKQIi7vuR49Y,"Before ESTF,After ESTF",nan,nan,nan,nan,nan,"Before ESTF,After ESTF",nan,nan,nan,nan,nan,nan,nan
R_1otzVwKXWiBGbKL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_28FJLBfHfAfSVUm,"Before ESTF,After ESTF",nan,nan,nan,nan,nan,nan,nan,After ESTF,nan,nan,After ESTF,nan,nan
