ResponseId,Other teachers from my department,Other teachers from other department,Parents,Custodian,Site Level Administration,Site Level Staff,Principal,District Administrations,Other teachers I met at ESTF (formerly SMELC),Other teachers from other schools,Community Based Partner,County Office of Education,Personal friends,Other (add the role here)
R_27fhEQDI9zdHnhP,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_2R8GCAjxak89NJv,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_2rqoibdnQdkjyBo,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_vfwxxvyn3DG3lOp,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_1nPXJSepbPdCCr0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_32Q0el0m2C3U5Wx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_py3yU4OaSyvgYIF,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_2CIhmSM5QPzi4eA,"Before ESTF,After ESTF",nan,nan,Before ESTF,Before ESTF,Before ESTF,Before ESTF,"Before ESTF,After ESTF",nan,Before ESTF,nan,nan,nan,nan
R_1GIGp9864u7SpBf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_3fpFSJbPtY47FKD,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_XAkNj8hwoY9SFLb,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_Y9ugPjH1hanrtst,After ESTF,After ESTF,After ESTF,After ESTF,After ESTF,After ESTF,After ESTF,After ESTF,After ESTF,After ESTF,After ESTF,After ESTF,Before ESTF,nan
R_3NKyjoGSeqcj8zA,"Before ESTF,After ESTF",nan,nan,nan,nan,nan,nan,nan,nan,nan,After ESTF,nan,"Before ESTF,After ESTF",nan
R_11XQYDKGU9P7KJk,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_Cfr6gqsZtCDTni1,After ESTF,nan,nan,nan,nan,nan,nan,nan,After ESTF,nan,nan,nan,nan,nan
R_2YLjc8a0gJUvVmE,After ESTF,After ESTF,After ESTF,After ESTF,After ESTF,After ESTF,After ESTF,After ESTF,nan,After ESTF,After ESTF,nan,After ESTF,nan
R_3R4y83wmuXY5OJj,After ESTF,After ESTF,"Before ESTF,After ESTF",After ESTF,After ESTF,After ESTF,After ESTF,After ESTF,nan,nan,After ESTF,After ESTF,nan,nan
R_2qsWmn960KDD1JM,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_1NsNhX2pPmsTnqw,nan,nan,nan,nan,"Before ESTF,After ESTF",nan,"Before ESTF,After ESTF",nan,nan,nan,nan,nan,nan,nan
R_2xyN5gkTP7D1t8b,"Before ESTF,After ESTF",After ESTF,nan,nan,nan,"Before ESTF,After ESTF",nan,nan,After ESTF,nan,After ESTF,After ESTF,nan,nan
R_41SE7h6WWBabmc9,Before ESTF,Before ESTF,Before ESTF,After ESTF,After ESTF,After ESTF,After ESTF,After ESTF,Before ESTF,Before ESTF,Before ESTF,Before ESTF,Before ESTF,nan
R_r2pGsFWdxvaMz3H,"Before ESTF,After ESTF",Before ESTF,nan,"Before ESTF,After ESTF",nan,nan,nan,nan,nan,nan,Before ESTF,After ESTF,Before ESTF,nan
R_2aD2KbGk2IcXSBd,"Before ESTF,After ESTF","Before ESTF,After ESTF","Before ESTF,After ESTF","Before ESTF,After ESTF","Before ESTF,After ESTF","Before ESTF,After ESTF","Before ESTF,After ESTF",nan,nan,nan,nan,nan,"Before ESTF,After ESTF",nan
R_2YWAWq9VW9LPL9t,nan,nan,nan,nan,nan,After ESTF,nan,nan,nan,"Before ESTF,After ESTF",Before ESTF,nan,"Before ESTF,After ESTF",nan
R_3JK8DXmo88P6TjI,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_xroIg6eBl0FneDL,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_2fJbbtfFftP1ydb,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_27Jz3HYoq2oRcMK,"Before ESTF,After ESTF",Before ESTF,nan,nan,"Before ESTF,After ESTF",nan,nan,Before ESTF,After ESTF,nan,Before ESTF,After ESTF,nan,"Before ESTF,After ESTF"
R_1KeWLcS7ZAUK0BH,nan,"Before ESTF,After ESTF",nan,nan,"Before ESTF,After ESTF",nan,nan,nan,nan,nan,"Before ESTF,After ESTF",nan,nan,nan
R_2YWUY8apQxAZmrW,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_1QMlw7W1IyPijAx,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_1f7TVfcrFj4XnV3,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_1otYVtdKF1cdiui,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_3RfRDtUUmnfmmqT,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_1r6e6B6SiJSF3n4,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_26avHyOCNnHfEhH,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_1n75JlUYmF1MDLM,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_xr9DC6OUoEysno5,After ESTF,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_3IVQExGPTa8XslO,nan,nan,nan,nan,nan,nan,nan,nan,nan,After ESTF,nan,"Before ESTF,After ESTF",nan,nan
R_31dx7p7R4vSaV66,"Before ESTF,After ESTF","Before ESTF,After ESTF",Before ESTF,"Before ESTF,After ESTF","Before ESTF,After ESTF",nan,"Before ESTF,After ESTF",nan,nan,nan,nan,Before ESTF,nan,nan
R_1MX5I8T3dlDHTkG,Before ESTF,Before ESTF,Before ESTF,Before ESTF,After ESTF,nan,After ESTF,After ESTF,After ESTF,Before ESTF,After ESTF,Before ESTF,Before ESTF,nan
R_1i8tDTu2KXMbTzG,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_2xFTmxDWtQRrwJt,"Before ESTF,After ESTF","Before ESTF,After ESTF",nan,After ESTF,"Before ESTF,After ESTF",nan,"Before ESTF,After ESTF",After ESTF,After ESTF,nan,nan,nan,After ESTF,nan
R_cN2JQjHC6KCuI6t,After ESTF,nan,nan,nan,nan,nan,After ESTF,nan,nan,nan,nan,nan,nan,nan
R_3JEjEjbR4n4vhMg,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
R_1ikbRJaYAwfBLd9,"Before ESTF,After ESTF","Before ESTF,After ESTF",nan,nan,nan,nan,"Before ESTF,After ESTF","Before ESTF,After ESTF",nan,nan,nan,"Before ESTF,After ESTF",nan,nan
R_33d4G30BwWV2Ase,After ESTF,After ESTF,After ESTF,"Before ESTF,After ESTF",After ESTF,After ESTF,After ESTF,After ESTF,After ESTF,After ESTF,After ESTF,After ESTF,"Before ESTF,After ESTF",nan
R_3NEu34G11JAXLIy,"Before ESTF,After ESTF","Before ESTF,After ESTF",After ESTF,"Before ESTF,After ESTF",After ESTF,After ESTF,"Before ESTF,After ESTF",After ESTF,After ESTF,After ESTF,After ESTF,After ESTF,After ESTF,nan
R_ronFsrS4kUHIk7v,Before ESTF,Before ESTF,Before ESTF,Before ESTF,Before ESTF,Before ESTF,Before ESTF,Before ESTF,nan,Before ESTF,Before ESTF,Before ESTF,Before ESTF,nan
R_2e5494g4yrSfYM2,After ESTF,nan,nan,nan,After ESTF,nan,After ESTF,nan,nan,nan,After ESTF,nan,nan,nan
R_XnwSNaOybqY2yYN,nan,nan,nan,nan,nan,nan,nan,nan,nan,After ESTF,nan,nan,nan,nan
R_2wQYtoPug7JLe8I,After ESTF,After ESTF,nan,After ESTF,nan,After ESTF,After ESTF,After ESTF,After ESTF,nan,After ESTF,After ESTF,nan,nan
R_1pzdS6E9fTAGrHh,nan,nan,nan,nan,nan,nan,After ESTF,After ESTF,After ESTF,nan,After ESTF,After ESTF,nan,nan
R_3NDm3Yq1JX1TMnJ,nan,nan,nan,nan,nan,nan,After ESTF,nan,nan,nan,nan,nan,nan,nan
R_3F29JSrV4quNz17,"Before ESTF,After ESTF",nan,After ESTF,nan,nan,"Before ESTF,After ESTF",After ESTF,After ESTF,nan,nan,After ESTF,After ESTF,nan,nan
R_1Ovh0MLxU6GwRQx,"Before ESTF,After ESTF",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Before ESTF,After ESTF",nan
